Date,PM2.5_1week
2021-01-03,2.1
2021-01-10,1.9
2021-01-17,3.3
2021-01-24,1.9
2021-01-31,3.6
2021-02-07,1.4
2021-02-14,1.7
2021-02-21,1.5
2021-02-28,2.6
2021-03-07,1.9
2021-03-14,1.9
2021-03-21,1.5
2021-03-28,1.9
2021-04-04,3.1
2021-04-11,6.4
2021-04-18,3.8
2021-04-25,2.2
2021-05-02,2.1
2021-05-09,2.1
2021-05-16,4.8
2021-05-23,2.9
2021-05-30,1.9
