Date,PM2.5_1week
2021-01-03,1.3
2021-01-10,1.8
2021-01-17,1.6
2021-01-24,1.9
2021-01-31,2.9
2021-02-07,1.0
2021-02-14,1.4
2021-02-21,1.4
2021-02-28,2.4
2021-03-07,2.0
2021-03-14,2.1
2021-03-21,1.6
2021-03-28,1.7
2021-04-04,3.1
2021-04-11,6.6
2021-04-18,3.5
2021-04-25,2.1
2021-05-02,1.9
2021-05-09,1.9
2021-05-16,4.3
2021-05-23,2.7
2021-05-30,1.6
