Date,PM2.5_1week
2021-01-03,1.8
2021-01-10,2.1
2021-01-17,2.1
2021-01-24,2.0
2021-01-31,4.3
2021-02-07,1.7
2021-02-14,2.2
2021-02-21,1.5
2021-02-28,2.6
2021-03-07,2.1
2021-03-14,2.4
2021-03-21,1.9
2021-03-28,2.1
2021-04-04,3.7
2021-04-11,6.6
2021-04-18,4.1
2021-04-25,2.3
2021-05-02,2.0
2021-05-09,2.2
2021-05-16,5.0
2021-05-23,2.8
2021-05-30,1.8
